priority,description,id,my_mothod,result
3,"I'm a bit confused by why the Search button is top-aligned with the URL bar field, rather than vertically centered across the URL bar:  * The only interface object obviously aligned with the URL bar is the internal proxy icon, which is equidistant from the top and bottom borders of the URL bar.  * The top edge of the Search field/URL bar isn't aligned with any interface objects, so the top-alignment doesn't contribute to any form of grid system that I can see.  Thanks!",29852,"I'm a bit confused by why the Search button is top-aligned with the URL bar field, rather than vertically centered across the URL bar:  * The only interface object obviously aligned with the URL bar is the internal proxy icon, which is equidistant from the top and bottom borders of the URL bar.  * The top edge of the Search field/URL bar isn't aligned with any interface objects, so the top-alignment doesn't contribute to any form of grid system that I can see.  Thanks! Search button meant to be top-aligned? trivial General SeaMonkey","['bit', 'confus', 'search', 'button', 'top', 'align', 'url', 'bar', 'field', 'rath', 'vert', 'cent', 'across', 'url', 'bar', 'interfac', 'object', 'obvy', 'align', 'url', 'bar', 'intern', 'proxy', 'icon', 'top', 'bottom', 'bord', 'url', 'bar', 'top', 'edg', 'search', 'field', 'url', 'bar', 'align', 'interfac', 'object', 'top', 'align', 'contribut', 'form', 'grid', 'system', 'see', 'thank', 'search', 'button', 'meant', 'top', 'align', 'triv', 'gen', 'seamonkey']"
3,"In the Linux build of Mozilla M14, clicking an expandible item in a menu (ie. a bookmark folder, or the 'Character Encoding' dropdown in the View menu) causes the entire menu to disappear.  It would be preferable to have a click open the item. Failing that, it would be nice to have a user-definable delay parameter for the dropdown - waiting half a second for each of ten folders can mean getting to one of my bookmarks takes five seconds -- I can type a URL faster.",29867,"In the Linux build of Mozilla M14, clicking an expandible item in a menu (ie. a bookmark folder, or the 'Character Encoding' dropdown in the View menu) causes the entire menu to disappear.  It would be preferable to have a click open the item. Failing that, it would be nice to have a user-definable delay parameter for the dropdown - waiting half a second for each of ten folders can mean getting to one of my bookmarks takes five seconds -- I can type a URL faster. Clicking expandable item in menu closes menu trivial XUL Core","['linux', 'build', 'mozill', 'click', 'expand', 'item', 'menu', 'ie', 'bookmark', 'fold', 'charact', 'encod', 'dropdown', 'view', 'menu', 'caus', 'entir', 'menu', 'disappear', 'would', 'pref', 'hav', 'click', 'op', 'item', 'fail', 'would', 'nic', 'hav', 'us', 'defin', 'delay', 'paramet', 'dropdown', 'wait', 'half', 'second', 'ten', 'fold', 'mean', 'get', 'bookmark', 'tak', 'fiv', 'second', 'typ', 'url', 'fast', 'click', 'expand', 'item', 'menu', 'clos', 'menu', 'triv', 'xul', 'cor']"
3,"Overview Description: Had installed Mozilla M14 on Win98.  Copy-and-pasted proxy info from other browser is pasted into proxy address and port fields *twice*.  Steps to Reproduce: 0) Select Edit/Preferences/Proxies in Mozilla browser. 1) Cut/copy proxy address, eg 192.9.200.34 2) Check clipboard to make sure it's there! 3) Click in FTP Proxy field 4) Type ctrl-V to paste  Actual Results: Contents of clipboard pasted twice, eg 192.9.200.34192.9.200.34  Expected Results: Should have pasted once!  ie 192.9.200.34  Reproducibility: 100% reliable.  Occurs in FTP Proxy address and port, and HTTP Proxy address and port fields.  Build Date & Platform Bug Found: 2000022820 Mozilla M14 Seamonkey (Win32)   Additional Builds and Platforms Tested On: nil  Additional Information: Paste into ""No proxy for..."" field was OK - only copied once.",29905,"Overview Description: Had installed Mozilla M14 on Win98.  Copy-and-pasted proxy info from other browser is pasted into proxy address and port fields *twice*.  Steps to Reproduce: 0) Select Edit/Preferences/Proxies in Mozilla browser. 1) Cut/copy proxy address, eg 192.9.200.34 2) Check clipboard to make sure it's there! 3) Click in FTP Proxy field 4) Type ctrl-V to paste  Actual Results: Contents of clipboard pasted twice, eg 192.9.200.34192.9.200.34  Expected Results: Should have pasted once!  ie 192.9.200.34  Reproducibility: 100% reliable.  Occurs in FTP Proxy address and port, and HTTP Proxy address and port fields.  Build Date & Platform Bug Found: 2000022820 Mozilla M14 Seamonkey (Win32)   Additional Builds and Platforms Tested On: nil  Additional Information: Paste into ""No proxy for..."" field was OK - only copied once. contents of clipboard pasted twice into some fields minor Preferences SeaMonkey","['overview', 'describ', 'instal', 'mozill', 'win', 'cop', 'past', 'proxy', 'info', 'oth', 'brows', 'past', 'proxy', 'address', 'port', 'field', 'twic', 'step', 'reproduc', 'select', 'edit', 'pref', 'proxy', 'mozill', 'brows', 'cut', 'cop', 'proxy', 'address', 'eg', 'check', 'clipboard', 'mak', 'sur', 'ther', 'click', 'ftp', 'proxy', 'field', 'typ', 'ctrl', 'v', 'past', 'act', 'result', 'cont', 'clipboard', 'past', 'twic', 'eg', 'expect', 'result', 'hav', 'past', 'ont', 'ie', 'reproduc', 'rely', 'occ', 'ftp', 'proxy', 'address', 'port', 'http', 'proxy', 'address', 'port', 'field', 'build', 'dat', 'platform', 'bug', 'found', 'mozill', 'seamonkey', 'win', 'addit', 'build', 'platform', 'test', 'nil', 'addit', 'inform', 'past', 'proxy', 'field', 'ok', 'cop', 'ont', 'cont', 'clipboard', 'past', 'twic', 'som', 'field', 'min', 'pref', 'seamonkey']"
3,"- launch apprunner - click ""mail"" icon in browser window - type your imap mail password - click a mail message, any message - quit the app w/ cmd-q  CRASH!  PowerPC access exception at 1566399C PR_Lock+00154  (CurStackBase does not seem to apply...dumping 4K.)   Calling chain using A6/R1 links   Back chain  ISA  Caller   00000000    PPC  00B4DDC0  CallOnSwappedStack+00078   00C67898    PPC  00C32730  OTScheduleDriverDeferredTask+0016C   00C67838    PPC  00C2D1C4  qrun+00194   00C677D8    PPC  00C04630  TNativeProvider::Notify(unsigned long, long, void*)+ 00138   00C67788    PPC  00C07B3C  OTOpenEndpointOnStreamPriv+02750   00C676F8    PPC  00C029E8  TNativeProvider::NotifyClient(void*, unsigned long,  long, void*) +000D4   00C67688    PPC  00BFD808  TOTProcNotifier::~TOTProcNotifier()+000FC   00C67638    PPC  1566C924  NotifierRoutine+00438   00C675B8    PPC  1566C4A4  WakeUpNotifiedThread+00068   00C67578    PPC  1566A8BC  DoneWaitingOnThisThread+00030  Closing log  Doing an 'es' in macsbug leaves the mac in a limping state that next time any app  tries to use the network the machine locks hard.",29908,"- launch apprunner - click ""mail"" icon in browser window - type your imap mail password - click a mail message, any message - quit the app w/ cmd-q  CRASH!  PowerPC access exception at 1566399C PR_Lock+00154  (CurStackBase does not seem to apply...dumping 4K.)   Calling chain using A6/R1 links   Back chain  ISA  Caller   00000000    PPC  00B4DDC0  CallOnSwappedStack+00078   00C67898    PPC  00C32730  OTScheduleDriverDeferredTask+0016C   00C67838    PPC  00C2D1C4  qrun+00194   00C677D8    PPC  00C04630  TNativeProvider::Notify(unsigned long, long, void*)+ 00138   00C67788    PPC  00C07B3C  OTOpenEndpointOnStreamPriv+02750   00C676F8    PPC  00C029E8  TNativeProvider::NotifyClient(void*, unsigned long,  long, void*) +000D4   00C67688    PPC  00BFD808  TOTProcNotifier::~TOTProcNotifier()+000FC   00C67638    PPC  1566C924  NotifierRoutine+00438   00C675B8    PPC  1566C4A4  WakeUpNotifiedThread+00068   00C67578    PPC  1566A8BC  DoneWaitingOnThisThread+00030  Closing log  Doing an 'es' in macsbug leaves the mac in a limping state that next time any app  tries to use the network the machine locks hard. Crash on quit after using mail; horks machine blocker Networking Core","['launch', 'apprun', 'click', 'mail', 'icon', 'brows', 'window', 'typ', 'yo', 'imap', 'mail', 'password', 'click', 'mail', 'mess', 'mess', 'quit', 'ap', 'w', 'cmd', 'q', 'crash', 'powerpc', 'access', 'exceiv', 'c', 'pr', 'lock', 'doe', 'seem', 'apply', 'dump', 'k', 'cal', 'chain', 'us', 'r', 'link', 'back', 'chain', 'cal', 'ppc', 'b', 'ddc', 'c', 'ppc', 'c', 'c', 'c', 'ppc', 'c', 'c', 'c', 'ppc', 'c', 'unsign', 'long', 'long', 'void', 'c', 'ppc', 'c', 'b', 'c', 'c', 'f', 'ppc', 'c', 'e', 'void', 'unsign', 'long', 'long', 'void', 'c', 'ppc', 'bfd', 'fc', 'c', 'ppc', 'c', 'c', 'b', 'ppc', 'c', 'c', 'ppc', 'bc', 'clos', 'log', 'es', 'macsbug', 'leav', 'mac', 'stat', 'next', 'tim', 'ap', 'tri', 'us', 'network', 'machin', 'lock', 'hard', 'crash', 'quit', 'aft', 'us', 'mail', 'hork', 'machin', 'block', 'network', 'cor']"
3,"My M14 talkback binary that I downloaded from the release directory identified itself as ""Build ID: 2000022916""  I think it should identify itself as ""Build ID: M14"".  Yes, this is trivial, but it is also ANNOYING for us testers who have 5 or 6 different binary builds on our systems, after running moziila for a while. we forget which version we're running, so when a bug occurs, we're going to say that we're running NIGHTLY BUILD 2000022916, instead of saying that we're running M14. Saying the latter would make it MUCH easier for other people to reproduce the bug.  Besides, SOME kind of graphical distinction should be drawn between NIGHTLY Builds and Milestone builds, since Nightly builds often suffer from one kind of temporal problem or another...a ""stupid"" bug or breakage that can be fixed within a day or so. Milestone builds shouldn't suffer from those problems, and any bugs detected in those should be analysed more closely, they are indications of the ""deeper"" bugs.  Finally, it gives novices a clear indication about whether this is a nightly build or a milestone build.",29925,"My M14 talkback binary that I downloaded from the release directory identified itself as ""Build ID: 2000022916""  I think it should identify itself as ""Build ID: M14"".  Yes, this is trivial, but it is also ANNOYING for us testers who have 5 or 6 different binary builds on our systems, after running moziila for a while. we forget which version we're running, so when a bug occurs, we're going to say that we're running NIGHTLY BUILD 2000022916, instead of saying that we're running M14. Saying the latter would make it MUCH easier for other people to reproduce the bug.  Besides, SOME kind of graphical distinction should be drawn between NIGHTLY Builds and Milestone builds, since Nightly builds often suffer from one kind of temporal problem or another...a ""stupid"" bug or breakage that can be fixed within a day or so. Milestone builds shouldn't suffer from those problems, and any bugs detected in those should be analysed more closely, they are indications of the ""deeper"" bugs.  Finally, it gives novices a clear indication about whether this is a nightly build or a milestone build. [ANNOYING] M14 build does not identify itself as M14 build. trivial Installer SeaMonkey","['talkback', 'bin', 'download', 'releas', 'direct', 'ident', 'build', 'id', 'think', 'ident', 'build', 'id', 'ye', 'thi', 'triv', 'also', 'annoy', 'us', 'test', 'hav', 'diff', 'bin', 'build', 'system', 'aft', 'run', 'whil', 'forget', 'vert', 'run', 'bug', 'occ', 'going', 'say', 'run', 'night', 'build', 'instead', 'say', 'run', 'say', 'lat', 'would', 'mak', 'much', 'easy', 'oth', 'peopl', 'reproduc', 'bug', 'besid', 'som', 'kind', 'graph', 'distinct', 'drawn', 'night', 'build', 'mileston', 'build', 'sint', 'night', 'build', 'oft', 'suff', 'kind', 'temp', 'problem', 'anoth', 'stupid', 'bug', 'break', 'fix', 'within', 'day', 'mileston', 'build', 'suff', 'thos', 'problem', 'bug', 'detect', 'thos', 'analys', 'mor', 'clos', 'ar', 'ind', 'deep', 'bug', 'fin', 'giv', 'nov', 'clear', 'ind', 'wheth', 'thi', 'night', 'build', 'mileston', 'build', 'annoy', 'build', 'doe', 'ident', 'build', 'triv', 'instal', 'seamonkey']"
3,"While browsing to the above URL, the browser gives error ""The Procedure Entry  Point SUnMapLS_IP_EPB_16 could not be located in the dynamic link library  kernel32.dll."" I have no other OS to test this with here at work, however I get the same error  at home under 98SE. The version of SeaMonkey used is ""Mozilla M14 Mozilla/5.0 (Windows; N; NT4.0;  en-US) Mozilla/m13"" and the build # is 2000022820",29931,"While browsing to the above URL, the browser gives error ""The Procedure Entry  Point SUnMapLS_IP_EPB_16 could not be located in the dynamic link library  kernel32.dll."" I have no other OS to test this with here at work, however I get the same error  at home under 98SE. The version of SeaMonkey used is ""Mozilla M14 Mozilla/5.0 (Windows; N; NT4.0;  en-US) Mozilla/m13"" and the build # is 2000022820 Browser fails to load and play midi file from embed tag, doesn't show noembed text and link to midi file. minor General SeaMonkey","['whil', 'brows', 'abov', 'url', 'brows', 'giv', 'er', 'proc', 'entry', 'point', 'ip', 'could', 'loc', 'dynam', 'link', 'libr', 'kernel', 'dll', 'hav', 'oth', 'os', 'test', 'thi', 'work', 'howev', 'get', 'sam', 'er', 'hom', 'und', 'se', 'vert', 'seamonkey', 'us', 'mozill', 'mozill', 'window', 'n', 'nt', 'en', 'us', 'mozill', 'build', 'brows', 'fail', 'load', 'play', 'mid', 'fil', 'emb', 'tag', 'show', 'text', 'link', 'mid', 'fil', 'min', 'gen', 'seamonkey']"
3,"In the Preferences/Appearance/Fonts dialog, the two options are Serif and Monospace fonts. However, that's not what they mean. They really mean variable-width and fixed-width (a.k.a. monospace) fonts. Most monospace fonts are serifed, and perhaps a user wants a sans-serif font for default variable-width text.",29935,"In the Preferences/Appearance/Fonts dialog, the two options are Serif and Monospace fonts. However, that's not what they mean. They really mean variable-width and fixed-width (a.k.a. monospace) fonts. Most monospace fonts are serifed, and perhaps a user wants a sans-serif font for default variable-width text. Serif and monospace are not opposites trivial Preferences SeaMonkey","['pref', 'appear', 'font', 'dialog', 'two', 'opt', 'ar', 'ser', 'monospac', 'font', 'howev', 'mean', 'real', 'mean', 'vary', 'wid', 'fix', 'wid', 'k', 'monospac', 'font', 'monospac', 'font', 'ar', 'ser', 'perhap', 'us', 'want', 'san', 'ser', 'font', 'default', 'vary', 'wid', 'text', 'ser', 'monospac', 'ar', 'opposit', 'triv', 'pref', 'seamonkey']"
3,"Steps to reproduce: - make your sidebar a reasonable size - unmaximize mozilla - resize from the right until part of the dark blue sidebar-top is covered, but  don't let go of the mouse button - resize back Part of the dark blue stuff will not be redrawn, and its exact appearance will  depend on how quickly you resized back to normal.   Another similar bug: - do same, but resize from left. The titles of the bookmarks will be smeared.",29948,"Steps to reproduce: - make your sidebar a reasonable size - unmaximize mozilla - resize from the right until part of the dark blue sidebar-top is covered, but  don't let go of the mouse button - resize back Part of the dark blue stuff will not be redrawn, and its exact appearance will  depend on how quickly you resized back to normal.   Another similar bug: - do same, but resize from left. The titles of the bookmarks will be smeared. top of sidebar (with word ""customize"") not redrawn minor General SeaMonkey","['step', 'reproduc', 'mak', 'yo', 'sideb', 'reason', 'siz', 'unmaxim', 'mozill', 'res', 'right', 'part', 'dark', 'blu', 'sideb', 'top', 'cov', 'let', 'go', 'mous', 'button', 'res', 'back', 'part', 'dark', 'blu', 'stuff', 'wil', 'redrawn', 'exact', 'appear', 'wil', 'depend', 'quick', 'res', 'back', 'norm', 'anoth', 'simil', 'bug', 'sam', 'res', 'left', 'titl', 'bookmark', 'wil', 'top', 'sideb', 'word', 'custom', 'redrawn', 'min', 'gen', 'seamonkey']"
3,"From Bugzilla Helper: User-Agent: Mozilla/5.0 (X11; N; Linux 2.2.12-20smp i686; en-US) Mozilla/m13 BuildID:    2000022916  I cannot select, highlight, or edit text in the current URL display field.  It does not obviously seem to be related to any particular websites.  Reproducible: Always Steps to Reproduce: 1../mozilla 2.browse to www.mozilla.org (or elsewhere) 3. attempt to highlight and edit URL   Actual Results:  nothing  Expected Results:  expected to be able to highlight text and modify or overwrite it.",29954,"From Bugzilla Helper: User-Agent: Mozilla/5.0 (X11; N; Linux 2.2.12-20smp i686; en-US) Mozilla/m13 BuildID:    2000022916  I cannot select, highlight, or edit text in the current URL display field.  It does not obviously seem to be related to any particular websites.  Reproducible: Always Steps to Reproduce: 1../mozilla 2.browse to www.mozilla.org (or elsewhere) 3. attempt to highlight and edit URL   Actual Results:  nothing  Expected Results:  expected to be able to highlight text and modify or overwrite it. cannot highlight text in current URL display minor General SeaMonkey","['bugzill', 'help', 'us', 'ag', 'mozill', 'x', 'n', 'linux', 'smp', 'en', 'us', 'mozill', 'buildid', 'select', 'highlight', 'edit', 'text', 'cur', 'url', 'display', 'field', 'doe', 'obvy', 'seem', 'rel', 'particul', 'websit', 'reproduc', 'alway', 'step', 'reproduc', 'mozill', 'brows', 'www', 'mozill', 'org', 'elsewh', 'attempt', 'highlight', 'edit', 'url', 'act', 'result', 'noth', 'expect', 'result', 'expect', 'abl', 'highlight', 'text', 'mod', 'overwrit', 'highlight', 'text', 'cur', 'url', 'display', 'min', 'gen', 'seamonkey']"
5,"Mozilla 5.0, Win98, BuildID: 2000 02 28 08  (Can live with that but as a suggestion for the final release) If I maximize the first mozilla window (from the three top right mini icons on every ""Windows""-window click the one in the middle) any new opened Mozilla window uses the full desktop size but isn't maximized. You can still see the border around the window. Have to click the icon to fully maximize.  Reproducible: Always  Steps to Reproduce: 1. open Mozilla 2. maximize window 3. open new browser window  Actual Results:  new window uses full desktop but not maximized  Expected Results:  should be maximized (like in Netscape 4.7)",29986,"Mozilla 5.0, Win98, BuildID: 2000 02 28 08  (Can live with that but as a suggestion for the final release) If I maximize the first mozilla window (from the three top right mini icons on every ""Windows""-window click the one in the middle) any new opened Mozilla window uses the full desktop size but isn't maximized. You can still see the border around the window. Have to click the icon to fully maximize.  Reproducible: Always  Steps to Reproduce: 1. open Mozilla 2. maximize window 3. open new browser window  Actual Results:  new window uses full desktop but not maximized  Expected Results:  should be maximized (like in Netscape 4.7) new browser windows aren't maximized if the previous one is trivial General SeaMonkey","['mozill', 'win', 'buildid', 'liv', 'suggest', 'fin', 'releas', 'maxim', 'first', 'mozill', 'window', 'three', 'top', 'right', 'min', 'icon', 'every', 'window', 'window', 'click', 'middl', 'new', 'op', 'mozill', 'window', 'us', 'ful', 'desktop', 'siz', 'maxim', 'stil', 'see', 'bord', 'around', 'window', 'hav', 'click', 'icon', 'ful', 'maxim', 'reproduc', 'alway', 'step', 'reproduc', 'op', 'mozill', 'maxim', 'window', 'op', 'new', 'brows', 'window', 'act', 'result', 'new', 'window', 'us', 'ful', 'desktop', 'maxim', 'expect', 'result', 'maxim', 'lik', 'netscap', 'new', 'brows', 'window', 'ar', 'maxim', 'prevy', 'triv', 'gen', 'seamonkey']"
3,"First of all I sware I am not drunk! I have seen the icon used when dragging mail message moving during idle on the Mail window. I have seen it three or four times today. The mouvement is from the left to right to the left, as if a mail was dropped from the ""Mail Folder"" window to the ""Subject...etc"" window. It is quite a quick movement. I have seen it once on the browser window, but the mail window was just behind the browser one.",30000,"First of all I sware I am not drunk! I have seen the icon used when dragging mail message moving during idle on the Mail window. I have seen it three or four times today. The mouvement is from the left to right to the left, as if a mail was dropped from the ""Mail Folder"" window to the ""Subject...etc"" window. It is quite a quick movement. I have seen it once on the browser window, but the mail window was just behind the browser one. DND rubber-band animation is delayed minor MailNews: Message Display SeaMonkey","['first', 'al', 'hav', 'seen', 'icon', 'us', 'drag', 'mail', 'mess', 'mov', 'dur', 'idl', 'mail', 'window', 'hav', 'seen', 'three', 'four', 'tim', 'today', 'left', 'right', 'left', 'mail', 'drop', 'mail', 'fold', 'window', 'subject', 'etc', 'window', 'quit', 'quick', 'mov', 'hav', 'seen', 'ont', 'brows', 'window', 'mail', 'window', 'behind', 'brows', 'dnd', 'anim', 'delay', 'min', 'mailnew', 'mess', 'display', 'seamonkey']"
3,"From Bugzilla Helper: User-Agent: Mozilla/4.72 (Macintosh; U; PPC) BuildID:    200002241  No page downloads in its entirety. Only the first few lines of any given page  will download, and if there is a complete section of displayable HTML, it will  render. The more usual result is a completely blank page, and a 'Document: Done'  message.  Loading pages from local files works as expected; they load and display as  expected.  Reproducible: Always Steps to Reproduce: 1. Load nearly any page. 2. View source to see that only the first few lines are there.  Actual Results:  For example, on the main mozilla.org page, this is the only  section which successfully downloads:   <HTML> <HEAD> <TITLE>mozilla.org</TITLE> </HEAD> <BODY BGCOLOR=""#FFFFFF"" TEXT=""#000000"" LINK=""#0000EE"" VLINK=""#551A8B"" ALINK=""#FF0000"" MARGINHEIGHT=""0"" MARGINWIDTH=""0""> <MAP NAME=""banner""> <AREA SHAPE=RECT COORDS=""300,11,558,44"" ALT="""" HREF=""http://www.mozilla.org/""> </MAP>  Nothing after that is downloaded, and nothing is displayed.  Expected Results:  It should have successfully downloaded the HTML source of the  page and displayed it.",30012,"From Bugzilla Helper: User-Agent: Mozilla/4.72 (Macintosh; U; PPC) BuildID:    200002241  No page downloads in its entirety. Only the first few lines of any given page  will download, and if there is a complete section of displayable HTML, it will  render. The more usual result is a completely blank page, and a 'Document: Done'  message.  Loading pages from local files works as expected; they load and display as  expected.  Reproducible: Always Steps to Reproduce: 1. Load nearly any page. 2. View source to see that only the first few lines are there.  Actual Results:  For example, on the main mozilla.org page, this is the only  section which successfully downloads:   <HTML> <HEAD> <TITLE>mozilla.org</TITLE> </HEAD> <BODY BGCOLOR=""#FFFFFF"" TEXT=""#000000"" LINK=""#0000EE"" VLINK=""#551A8B"" ALINK=""#FF0000"" MARGINHEIGHT=""0"" MARGINWIDTH=""0""> <MAP NAME=""banner""> <AREA SHAPE=RECT COORDS=""300,11,558,44"" ALT="""" HREF=""http://www.mozilla.org/""> </MAP>  Nothing after that is downloaded, and nothing is displayed.  Expected Results:  It should have successfully downloaded the HTML source of the  page and displayed it. Mac: Only the first few lines or so of any page will download. blocker DOM: HTML Parser Core","['bugzill', 'help', 'us', 'ag', 'mozill', 'macintosh', 'u', 'ppc', 'buildid', 'pag', 'download', 'entir', 'first', 'lin', 'giv', 'pag', 'wil', 'download', 'ther', 'complet', 'sect', 'display', 'html', 'wil', 'rend', 'mor', 'us', 'result', 'complet', 'blank', 'pag', 'docu', 'mess', 'load', 'pag', 'loc', 'fil', 'work', 'expect', 'load', 'display', 'expect', 'reproduc', 'alway', 'step', 'reproduc', 'load', 'near', 'pag', 'view', 'sourc', 'see', 'first', 'lin', 'ar', 'ther', 'act', 'result', 'exampl', 'main', 'mozill', 'org', 'pag', 'thi', 'sect', 'success', 'download', 'html', 'head', 'titl', 'mozill', 'org', 'titl', 'head', 'body', 'bgcolor', 'ffffff', 'text', 'link', 'ee', 'b', 'alink', 'ff', 'marginheight', 'marginwid', 'map', 'nam', 'ban', 'shap', 'rect', 'coord', 'alt', 'href', 'map', 'noth', 'aft', 'download', 'noth', 'display', 'expect', 'result', 'hav', 'success', 'download', 'html', 'sourc', 'pag', 'display', 'mac', 'first', 'lin', 'pag', 'wil', 'download', 'block', 'dom', 'html', 'pars', 'cor']"
1,"I see this only on mac build for today.  1. Install and launch the browser 2. Select File->Open Web Location 3. Observe that a 'Open Web Location' dialog opens up and the cursor is blinking     inside the textfield. 4. If I click the mouse in the textfield, the cursor disappears, although I can     type.",30038,"I see this only on mac build for today.  1. Install and launch the browser 2. Select File->Open Web Location 3. Observe that a 'Open Web Location' dialog opens up and the cursor is blinking     inside the textfield. 4. If I click the mouse in the textfield, the cursor disappears, although I can     type. caret disappears after clicking in textfield major DOM: Editor Core","['see', 'thi', 'mac', 'build', 'today', 'instal', 'launch', 'brows', 'select', 'fil', 'op', 'web', 'loc', 'observ', 'op', 'web', 'loc', 'dialog', 'op', 'curs', 'blink', 'insid', 'textfield', 'click', 'mous', 'textfield', 'curs', 'disappear', 'although', 'typ', 'caret', 'disappear', 'aft', 'click', 'textfield', 'maj', 'dom', 'edit', 'cor']"
3,"I notice with M14 that afer I click the sidebar shut, it only reopens a small distance (maybe 20 pixels). I have to manually drag it out to view the contents.Clicking the hot-area will not open it fully... tried re-install. No different.  I also notice the preferences panel seems to be much more stable than in M13. Good work, keep it coming! :)",30045,"I notice with M14 that afer I click the sidebar shut, it only reopens a small distance (maybe 20 pixels). I have to manually drag it out to view the contents.Clicking the hot-area will not open it fully... tried re-install. No different.  I also notice the preferences panel seems to be much more stable than in M13. Good work, keep it coming! :) Sidebar won't Re-open... minor Sidebar SeaMonkey","['af', 'click', 'sideb', 'shut', 'reop', 'smal', 'dist', 'mayb', 'pixel', 'hav', 'man', 'drag', 'view', 'cont', 'click', 'hot', 'wil', 'op', 'ful', 'tri', 'instal', 'diff', 'also', 'pref', 'panel', 'seem', 'much', 'mor', 'stabl', 'good', 'work', 'keep', 'com', 'sideb', 'op', 'min', 'sideb', 'seamonkey']"
3,"From Bugzilla Helper: User-Agent: Mozilla/5.0 (Macintosh; N; PPC; en-US) Mozilla/m13 BuildID:    2000022414  On any page, using the ""find on this page"" feature under the search menu... hitting return in the window does not do anything, you must manually click on the search button. It would also be nice if cmd+f be assigned to search on this page and cmd+g assigned to search again.  Reproducible: Always Steps to Reproduce: 1. Open Mozilla 2. Go to any site, infact, you don't even need to 3. Under the search menu, go to ""find on this page"" 4. Type somethign in and hit return   Actual Results:  nothing!	  Expected Results:  started the search",30083,"From Bugzilla Helper: User-Agent: Mozilla/5.0 (Macintosh; N; PPC; en-US) Mozilla/m13 BuildID:    2000022414  On any page, using the ""find on this page"" feature under the search menu... hitting return in the window does not do anything, you must manually click on the search button. It would also be nice if cmd+f be assigned to search on this page and cmd+g assigned to search again.  Reproducible: Always Steps to Reproduce: 1. Open Mozilla 2. Go to any site, infact, you don't even need to 3. Under the search menu, go to ""find on this page"" 4. Type somethign in and hit return   Actual Results:  nothing!	  Expected Results:  started the search return feature doesn't work under find on page minor UI Design SeaMonkey","['bugzill', 'help', 'us', 'ag', 'mozill', 'macintosh', 'n', 'ppc', 'en', 'us', 'mozill', 'buildid', 'pag', 'us', 'find', 'thi', 'pag', 'feat', 'und', 'search', 'menu', 'hit', 'return', 'window', 'doe', 'anyth', 'must', 'man', 'click', 'search', 'button', 'would', 'also', 'nic', 'cmd', 'f', 'assign', 'search', 'thi', 'pag', 'cmd', 'g', 'assign', 'search', 'reproduc', 'alway', 'step', 'reproduc', 'op', 'mozill', 'go', 'sit', 'infact', 'ev', 'nee', 'und', 'search', 'menu', 'go', 'find', 'thi', 'pag', 'typ', 'hit', 'return', 'act', 'result', 'noth', 'expect', 'result', 'start', 'search', 'return', 'feat', 'work', 'und', 'find', 'pag', 'min', 'ui', 'design', 'seamonkey']"
1,"here's a quick way to lose a few hours of work: open mozilla so the profile manager comes up. decide you don't need multiple profiles any more, so delete one (the profile I'm  deleting had the default mozProfile name, and who knows how long ago it was  created, or even where it was stored) walk away from the PC for a minute come back, notice the delete profile command is still running, and the disk  light is churning think to yourself ""I wonder what it's deleting?"" after a minute more, kill the process. notice that my ENTIRE mozilla tree is gone. THANKS!!!  No, really, thanks a bunch!  Thank god for backups.",30119,"here's a quick way to lose a few hours of work: open mozilla so the profile manager comes up. decide you don't need multiple profiles any more, so delete one (the profile I'm  deleting had the default mozProfile name, and who knows how long ago it was  created, or even where it was stored) walk away from the PC for a minute come back, notice the delete profile command is still running, and the disk  light is churning think to yourself ""I wonder what it's deleting?"" after a minute more, kill the process. notice that my ENTIRE mozilla tree is gone. THANKS!!!  No, really, thanks a bunch!  Thank god for backups. removing profile deleted my entire mozilla tree! blocker Startup & Profiles SeaMonkey","['quick', 'way', 'los', 'hour', 'work', 'op', 'mozill', 'profil', 'man', 'com', 'decid', 'nee', 'multipl', 'profil', 'mor', 'delet', 'profil', 'delet', 'default', 'nam', 'know', 'long', 'ago', 'cre', 'ev', 'wher', 'stor', 'walk', 'away', 'pc', 'minut', 'com', 'back', 'delet', 'profil', 'command', 'stil', 'run', 'disk', 'light', 'churn', 'think', 'wond', 'delet', 'aft', 'minut', 'mor', 'kil', 'process', 'entir', 'mozill', 'tre', 'gon', 'thank', 'real', 'thank', 'bunch', 'thank', 'god', 'backup', 'remov', 'profil', 'delet', 'entir', 'mozill', 'tre', 'block', 'startup', 'profil', 'seamonkey']"
